action_id,audience,recipient,stage_id,priority,owner,action,action_packet_id,title,plain_english_summary,why_it_matters,risk_area,affected_workflows,owner_lane,secondary_owner_lane,recommended_question,acceptable_evidence,unsafe_inputs,timeframe,reviewer_needed,next_action,owner_view,msp_view,vendor_view,legal_compliance_view,technical_reviewer_view,evidence_ref,artifact_ref,roadmap_bucket
HANDOFF-001,owner_msp,Owner/MSP,intake,medium,Office Manager,"Confirm the practice profile, owners, review period, and no-PHI evidence-reference boundary.",HANDOFF-001,Intake,"This readiness item needs an owner, evidence support, and a next action before closeout.","The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.",Readiness / evidence support,owner/MSP handoff; evidence collection; workflow review,owner,velari_reviewer,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,90_days,owner; velari_reviewer,"Confirm the practice profile, owners, review period, and no-PHI evidence-reference boundary.","This readiness item needs an owner, evidence support, and a next action before closeout. Next action: Confirm the practice profile, owners, review period, and no-PHI evidence-reference boundary.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,packet-manifest.json,90_days
HANDOFF-002,owner_msp,Owner/MSP,external_evidence_precheck,high,Office Manager,"Review public-site tracker, TLS, scheduler, intake, and portal observations before the practice relies on patient-facing workflows.",HANDOFF-002,External evidence pre-check,"A public patient-facing workflow produced an external evidence observation that needs owner, MSP, vendor, or qualified-review follow-up.",External observations give the owner a concrete starting point without requiring access to private systems or patient data.,External evidence pre-check,public website; patient-facing workflow; vendor handoff,office_manager,legal_compliance,"Who owns this public-site observation, what evidence confirms the current state, and which vendor/MSP/reviewer should answer next?",public observation summary; page/workflow label; date observed; owner; vendor/MSP/reviewer note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; real form submissions; patient-entered details; full intercepted payloads with sensitive data; session cookies; private admin links,30_days,msp; office_manager; technical_reviewer,"Review public-site tracker, TLS, scheduler, intake, and portal observations before the practice relies on patient-facing workflows.","A public patient-facing workflow produced an external evidence observation that needs owner, MSP, vendor, or qualified-review follow-up. Next action: Review public-site tracker, TLS, scheduler, intake, and portal observations before the practice relies on patient-facing workflows.","Support the External evidence pre-check workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. External observations give the owner a concrete starting point without requiring access to private systems or patient data.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,external-evidence-precheck.md,30_days
HANDOFF-003,owner_msp,MSP,patient_data_outside_ehr_map,high,MSP Lead,"Confirm each high-risk flow owner, channel, BAA need, and reference-only evidence location.",HANDOFF-003,Patient data outside the EHR map,"A patient-data workflow outside the EHR needs an owner, evidence support, and safe handling boundaries.","Patient-data workflows outside the EHR are where evidence, owner, retention, and vendor assumptions most often get lost.",Patient data outside the EHR,patient messaging; email; shared drives; portal exports,msp,office_manager,"Which email, shared-drive, portal, or export workflows handle patient data, who owns them, and what evidence shows access, retention, and secure sharing controls?",workflow map; secure email policy; shared-drive access review; retention summary; staff guidance,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; clinical notes; claim narratives; shared-drive private URLs,30_days,office_manager; msp; legal_or_compliance_reviewer,"Confirm each high-risk flow owner, channel, BAA need, and reference-only evidence location.","A patient-data workflow outside the EHR needs an owner, evidence support, and safe handling boundaries. Next action: Confirm each high-risk flow owner, channel, BAA need, and reference-only evidence location.","Support the Patient data outside the EHR workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Patient-data workflows outside the EHR are where evidence, owner, retention, and vendor assumptions most often get lost.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,ephi-flow-map.md,30_days
HANDOFF-004,owner_msp,Owner,ai_phi_review,high,Office Manager,Separate no-PHI administrative AI use from restricted or prohibited PHI workflows before staff rollout.,HANDOFF-004,AI/PHI review,"An AI workflow needs clearer data-use, vendor, and human-review boundaries before staff rely on it.","AI workflows need explicit data boundaries so staff do not enter patient, billing, clinical, credential, or raw evidence details into the wrong tool.",AI workflow review,AI drafting; billing appeal drafting; AI documentation; staff guidance,office_manager,legal_compliance,"Should this workflow remain no-PHI, restricted, or paused until vendor terms, retention, model-training use, and human-review controls are reviewed?",AI acceptable-use guidance; vendor terms summary; model-training setting; retention/deletion terms; staff acknowledgement,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; patient notes; claim narratives; raw contracts,30_days,office_manager; legal_or_compliance_reviewer; technical_reviewer,Separate no-PHI administrative AI use from restricted or prohibited PHI workflows before staff rollout.,"An AI workflow needs clearer data-use, vendor, and human-review boundaries before staff rely on it. Next action: Separate no-PHI administrative AI use from restricted or prohibited PHI workflows before staff rollout.","Support the AI workflow review workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. AI workflows need explicit data boundaries so staff do not enter patient, billing, clinical, credential, or raw evidence details into the wrong tool.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,ai-workflow-review.md,30_days
HANDOFF-005,owner_msp,Vendor,vendor_baa_review,high,Office Manager,"Collect BAA status, SOC 2/HITRUST evidence status, security contact, incident terms, subcontractor posture, and AI/data-use answers.",HANDOFF-005,Vendor/BAA review,"A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing.","Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.",Vendor / BAA,vendor services; patient messaging; billing; AI documentation,vendor,office_manager,"Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?",BAA status; BAA review date; vendor security page; SOC 2 or HITRUST status; incident notification terms; retention/deletion terms,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; raw contracts with sensitive details,30_days,vendor_owner; legal_or_compliance_reviewer,"Collect BAA status, SOC 2/HITRUST evidence status, security contact, incident terms, subcontractor posture, and AI/data-use answers.","A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing. Next action: Collect BAA status, SOC 2/HITRUST evidence status, security contact, incident terms, subcontractor posture, and AI/data-use answers.","Support the Vendor / BAA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.","Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?","Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,vendor-baa-review.md,30_days
HANDOFF-006,owner_msp,MSP,access_offboarding_review,high,MSP Lead,"Export user lists, verify MFA enforcement, and document owner signoff for access and offboarding review.",HANDOFF-006,Access/offboarding review,"This readiness item needs an owner, evidence support, and a next action before closeout.",Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.,Readiness / evidence support,EHR access; billing access; email access; remote access,msp,office_manager,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Export user lists, verify MFA enforcement, and document owner signoff for access and offboarding review.","This readiness item needs an owner, evidence support, and a next action before closeout. Next action: Export user lists, verify MFA enforcement, and document owner signoff for access and offboarding review.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,readiness-review.md,30_days
HANDOFF-007,owner_msp,MSP,downtime_ransomware_review,high,MSP Lead,"Run or schedule a restore test and tabletop, then record reference IDs and lessons learned.",HANDOFF-007,Downtime/ransomware review,Downtime workflow evidence is missing for a system the practice may need during patient care.,Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.,Readiness / evidence support,EHR outage; billing downtime; shared drive recovery; patient-care continuity,msp,office_manager,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Run or schedule a restore test and tabletop, then record reference IDs and lessons learned.","Downtime workflow evidence is missing for a system the practice may need during patient care. Next action: Run or schedule a restore test and tabletop, then record reference IDs and lessons learned.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,downtime-ransomware-tabletop.md,30_days
HANDOFF-008,owner_msp,Owner,findings_risk_register,medium,Practice owner/MSP,Review top findings with the owner and assign 30-day remediation owners.,HANDOFF-008,Findings/risk register,"This readiness item needs an owner, evidence support, and a next action before closeout.","The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.",Readiness / evidence support,owner/MSP handoff; evidence collection; workflow review,owner,velari_reviewer,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,90_days,owner; velari_reviewer,Review top findings with the owner and assign 30-day remediation owners.,"This readiness item needs an owner, evidence support, and a next action before closeout. Next action: Review top findings with the owner and assign 30-day remediation owners.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,risk-register.csv,90_days
HANDOFF-010,owner_msp,Owner/MSP,owner_msp_handoff,medium,Practice owner/MSP,"Use the handoff actions to collect MSP, vendor, owner, and legal/compliance reviewer responses.",HANDOFF-010,Owner/MSP handoff,"This readiness item needs an owner, evidence support, and a next action before closeout.","The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.",Readiness / evidence support,owner/MSP handoff; evidence collection; workflow review,owner,velari_reviewer,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,90_days,owner; velari_reviewer,"Use the handoff actions to collect MSP, vendor, owner, and legal/compliance reviewer responses.","This readiness item needs an owner, evidence support, and a next action before closeout. Next action: Use the handoff actions to collect MSP, vendor, owner, and legal/compliance reviewer responses.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. The gap needs an owner, evidence reference, and review path before it can support a credible readiness conversation.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",,owner-msp-handoff.md,90_days
QUESTION-001,msp,MSP,access_offboarding_review,high,MSP,"Which EHR, billing, imaging, email, remote support, and administrator accounts have MFA technically enforced?",QUESTION-001,"Which EHR, billing, imaging, email, remote support, and administrator accounts have MFA technically enforced?",MFA evidence for an EHR or remote-access workflow is missing or not recorded.,Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.,Access / MFA,EHR access; billing access; email access; remote access,msp,office_manager,"Can you provide an MFA enforcement export or screenshot for EHR, billing, email, remote access, admin, and vendor-support accounts?",MFA policy export; admin screenshot with date observed; covered groups; exception list; MSP attestation,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; patient notes; claim narratives; raw contracts; clinical notes; shared-drive private URLs,30_days,office_manager; legal_or_compliance_reviewer; technical_reviewer,"Which EHR, billing, imaging, email, remote support, and administrator accounts have MFA technically enforced?","MFA evidence for an EHR or remote-access workflow is missing or not recorded. Next action: Which EHR, billing, imaging, email, remote support, and administrator accounts have MFA technically enforced?","Support the Access / MFA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",EVID-ACCESS-Q2,owner-msp-handoff.md,30_days
