control_id,control_name,control_family,control_refs,risk_area,practice_applicability,evidence_id,evidence_name,evidence_type,evidence_owner,evidence_provider,accountable_owner,reviewer_needed,evidence_status,freshness_status,last_collected_at,last_reviewed_at,effective_date,cadence,stale_after_days,retention_years,source_systems,acceptable_evidence,unsafe_inputs,linked_answer_packet_ids,next_action
VEL-GOV-OWNER-001,Security official and accountable owner designated,Administrative Safeguards,HIPAA Security Rule - assigned security responsibility; HHS HPH CPG - governance; CISA CPG - governance and cybersecurity leadership,Governance,small_practice; msp_supported; covered_entity; public_demo,EV-GOV-OWNER-001,Accountable security owner record,sanitized owner role record or practice attestation,owner,office_manager,owner,owner; velari_reviewer,missing,missing,,,,annual,365,6,practice profile; management signoff packet,named security owner role; dated owner acknowledgement; owner/MSP responsibility split,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,Confirm the named owner for security readiness decisions and where owner/MSP handoffs are recorded.
VEL-GOV-SRA-001,Security risk analysis record,Administrative Safeguards,HIPAA Security Rule - risk analysis; ONC/OCR Security Risk Assessment Tool; HHS HPH CPG - risk management,Risk Analysis,small_practice; msp_supported; covered_entity; public_demo,EV-GOV-SRA-001,Risk analysis reference record,private risk analysis reference or reviewer note,legal_compliance,owner,owner,legal_compliance; velari_reviewer,needs_professional_review,missing,,,,annual,365,6,risk analysis worksheet; management signoff packet,formal risk analysis reference ID; dated reviewer note; management review date; scope statement,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,Identify whether a current formal risk analysis exists and route gaps to qualified professional review.
VEL-GOV-RISK-001,Risk treatment and corrective action register,Administrative Safeguards,HIPAA Security Rule - risk management; HHS HPH CPG - risk management; CISA CPG - vulnerability remediation planning,Corrective Action,small_practice; msp_supported; covered_entity; public_demo,EV-GOV-RISK-001,Corrective action register,risk register export or owner action plan,owner,office_manager,owner,owner; velari_reviewer,missing,missing,,,,monthly,30,6,risk-register.csv; owner-action-plan.md,action register with owner; due date and priority; remediation status; reviewer note for deferred items,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Assign each open finding to an owner, due date, and evidence reference."
VEL-GOV-POLICY-001,Security policy set with last review date,Administrative Safeguards,HIPAA Security Rule - policies and procedures; HHS HPH CPG - policies and training,Policy Review,small_practice; msp_supported; covered_entity; public_demo,EV-GOV-POLICY-001,Security policy review record,"policy index, review date, and owner signoff",office_manager,owner,owner,owner; legal_compliance,missing,missing,,,,annual,365,6,policy binder; staff handbook,policy index; last review date; owner signoff; staff acknowledgement reference,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-005,"Record the current policy set, last review date, owner, and staff acknowledgement reference."
VEL-WORKFORCE-TRAIN-001,Workforce security training record,Administrative Safeguards,HIPAA Security Rule - security awareness and training; HHS HPH CPG - security awareness training; CISA CPG - foundational cybersecurity training,Workforce Training,small_practice; msp_supported; covered_entity; public_demo,EV-WORKFORCE-TRAIN-001,Staff security training evidence,"training roster, date, and topic summary",office_manager,office_manager,owner,office_manager; velari_reviewer,missing,missing,,,,annual,365,6,LMS or staff training file; onboarding checklist,sanitized training roster; training date and topic list; acknowledgement reference; new-hire training checklist,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,Confirm current staff training completion and record the date and evidence reference.
VEL-IR-CONTACT-001,Incident response plan and contact tree,Operational Readiness,HIPAA Security Rule - security incident procedures; HHS HPH CPG - incident response; CISA CPG - incident response planning,Incident Response,small_practice; msp_supported; covered_entity; public_demo,EV-IR-CONTACT-001,Incident response contact tree,sanitized plan summary and contact owner list,owner,office_manager,owner,owner; incident_responder; legal_compliance,missing,missing,,,,annual,365,6,incident-decision-log.md; contact tree,incident roles list; MSP escalation path; insurer contact reference; counsel or compliance contact reference,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,Confirm the incident contact tree and separate technical response from qualified notice decisions.
VEL-DR-DOWNTIME-001,"Contingency, downtime, and disaster recovery plan",Operational Readiness,HIPAA Security Rule - contingency plan; HHS HPH CPG - backup and recovery; CISA CPG - data recovery,Downtime / Ransomware,small_practice; msp_supported; covered_entity; public_demo,EV-DR-DOWNTIME-001,Downtime plan evidence,downtime workflow worksheet and tabletop note,msp,msp,owner,msp; incident_responder; office_manager,missing,missing,,,,annual,365,6,EHR; billing; shared drive; phone system,downtime workflow map; tabletop exercise note; critical system owner list; manual workaround checklist,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-005; READINESS-003,"Run or schedule a downtime tabletop and record owner, MSP, and evidence references."
VEL-EVID-FRESHNESS-001,Evidence freshness report,Operational Readiness,HHS HPH CPG - asset and evidence management; CISA CPG - measurable security outcomes,Evidence Freshness,small_practice; msp_supported; covered_entity; public_demo,EV-EVID-FRESHNESS-001,Evidence freshness summary,generated freshness report,velari_reviewer,velari_reviewer,owner,owner; velari_reviewer,missing,missing,,,,monthly,30,6,control-evidence-matrix.csv; evidence-freshness-report.md,freshness counts by status; owner split; stale and missing list; dated generated report,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,,"Review missing and stale evidence weekly until owner, MSP, and vendor asks are assigned."
VEL-MFA-REMOTE-001,"MFA coverage for email, cloud, admin, and remote access",Technical Safeguards,HIPAA Security Rule - access control; HIPAA Security Rule - person or entity authentication; HHS HPH CPG - multifactor authentication; CISA CPG - implement MFA,Access / MFA,small_practice; msp_supported; covered_entity; public_demo,EV-MFA-REMOTE-001,Remote access MFA enforcement evidence,"sanitized configuration reference, policy reference, or admin attestation",msp,msp,owner,msp; velari_reviewer,missing,missing,,,,quarterly,90,6,Microsoft 365; VPN; RMM; EHR admin portal,sanitized MFA policy export; conditional access policy reference; admin account MFA coverage report; signed MSP attestation with date and scope,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Ask the MSP to confirm MFA is enforced for EHR, email, administrator accounts, remote support, and remote access tools."
VEL-ACCESS-REVIEW-001,"User access review for EHR, email, file shares, billing, VPN, and RMM",Technical Safeguards,HIPAA Security Rule - access control; HHS HPH CPG - identity and access management; CISA CPG - account inventory,Access Review,small_practice; msp_supported; covered_entity; public_demo,EV-ACCESS-REVIEW-001,Quarterly access review evidence,sanitized user list export and owner signoff,msp,msp,owner,msp; office_manager,missing,missing,,,,quarterly,90,6,EHR; billing; email; shared drive; RMM,user list export; admin role list; removed-account note; owner access-review signoff,PHI or patient identifiers; credentials; private admin URLs; raw logs; patient screenshots; full private contracts,READINESS-004; READINESS-001; READINESS-002; READINESS-006; AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT; VENDOR-EXAMPLE_AI_SCRIBE_VENDOR; VENDOR-EXAMPLE_BILLING_VENDOR; VENDOR-EXAMPLE_IMAGING_VENDOR; AI-AI_SCRIBE_PILOT; AI-BILLING_APPEAL_DRAFTER,"Export user and admin-role lists, reconcile owners, and record quarterly owner signoff."
