finding_id,stage_id,severity,priority,title,owner,audience,recipient,evidence_status,evidence_refs,plain_english_summary,why_it_matters,risk_area,affected_workflows,owner_lane,secondary_owner_lane,recommended_question,acceptable_evidence,unsafe_inputs,timeframe,reviewer_needed,next_action,recommended_action,owner_view,msp_view,vendor_view,legal_compliance_view,technical_reviewer_view,artifact_ref,roadmap_bucket
VENDOR-EXAMPLE_IMAGING_VENDOR,vendor_baa_review,high,high,BAA status needs review for Example Imaging Vendor,Practice manager,vendor,Vendor,missing,VENDOR-EXAMPLE_IMAGING_VENDOR,"A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing.","Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.",Vendor / BAA,vendor services; patient messaging; billing; AI documentation,vendor,office_manager,"Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?",BAA status; BAA review date; vendor security page; SOC 2 or HITRUST status; incident notification terms; retention/deletion terms,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; raw contracts with sensitive details,30_days,vendor_owner; legal_or_compliance_reviewer,"Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing. Next action: Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Support the Vendor / BAA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.","Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?","Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",vendor-baa-review.md,30_days
READINESS-004,vendor_baa_review,high,high,Complete the BAA register and review dates,Practice owner/MSP,vendor,Vendor,missing,,"A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing.","Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.",Vendor / BAA,vendor services; patient messaging; billing; AI documentation,vendor,office_manager,"Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?",BAA status; BAA review date; vendor security page; SOC 2 or HITRUST status; incident notification terms; retention/deletion terms,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; raw contracts with sensitive details,30_days,vendor_owner; legal_or_compliance_reviewer,"Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing. Next action: Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Support the Vendor / BAA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.","Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?","Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",vendor-baa-review.md,30_days
READINESS-005,downtime_ransomware_review,high,high,Document downtime procedures for critical systems,Practice owner/MSP,msp,MSP,missing,,Downtime workflow evidence is missing for a system the practice may need during patient care.,Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.,Readiness / evidence support,EHR outage; billing downtime; shared drive recovery; patient-care continuity,msp,office_manager,"Does this item require owner signoff, MSP evidence, vendor clarification, or professional review before action?",owner signoff; evidence reference ID; date observed; workflow owner; review note,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Assign an owner, collect reference-only evidence, and update the action packet.","Assign an owner, collect reference-only evidence, and update the action packet.","Downtime workflow evidence is missing for a system the practice may need during patient care. Next action: Assign an owner, collect reference-only evidence, and update the action packet.","Support the Readiness / evidence support workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",downtime-ransomware-tabletop.md,30_days
READINESS-001,access_offboarding_review,high,high,Enable MFA for EHR access,Practice owner/MSP,msp,MSP,missing,,MFA evidence for an EHR or remote-access workflow is missing or not recorded.,Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.,Access / MFA,EHR access; billing access; email access; remote access,msp,office_manager,"Can you provide an MFA enforcement export or screenshot for EHR, billing, email, remote access, admin, and vendor-support accounts?",MFA policy export; admin screenshot with date observed; covered groups; exception list; MSP attestation,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Request MFA proof, document exceptions, and assign an owner for any missing enforcement.","Request MFA proof, document exceptions, and assign an owner for any missing enforcement.","MFA evidence for an EHR or remote-access workflow is missing or not recorded. Next action: Request MFA proof, document exceptions, and assign an owner for any missing enforcement.","Support the Access / MFA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",owner-msp-handoff.md,30_days
READINESS-003,downtime_ransomware_review,high,high,Run a restore test and record evidence,Practice owner/MSP,msp,MSP,missing,,Backup restore evidence is missing or stale for systems needed during patient care.,Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.,Backup / downtime,EHR outage; billing downtime; shared drive recovery; patient-care continuity,msp,office_manager,"Can you provide backup scope, last restore-test date, recovery owner, and a private binder reference ID?",backup scope summary; restore-test note; date observed; recovery owner; systems excluded from backup,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; raw backup data; private console links,30_days,msp; office_manager,Run or schedule a restore test and record reference-only evidence.,Run or schedule a restore test and record reference-only evidence.,Backup restore evidence is missing or stale for systems needed during patient care. Next action: Run or schedule a restore test and record reference-only evidence.,"Support the Backup / downtime workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Unproven recovery can turn a ransomware or outage event into patient-care disruption and billing downtime.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",downtime-ransomware-tabletop.md,30_days
READINESS-002,access_offboarding_review,high,high,Run and record a quarterly access review,Practice owner/MSP,msp,MSP,missing,,The practice does not have current evidence that user access was reviewed.,Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.,Access review,EHR access; billing access; email access; remote access,msp,office_manager,"Can you provide user list exports, admin role lists, shared-account exceptions, and owner signoff for access review?",user list export; admin role list; owner access-review signoff; removed-account notes; exception sunset dates,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Run the access review, remove or document exceptions, and store evidence references.","Run the access review, remove or document exceptions, and store evidence references.","The practice does not have current evidence that user access was reviewed. Next action: Run the access review, remove or document exceptions, and store evidence references.","Support the Access review workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Weak access proof makes it harder to show who can reach systems that support patient care and patient-data workflows.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",owner-msp-handoff.md,30_days
READINESS-006,access_offboarding_review,high,high,Set a monthly log review cadence,Practice owner/MSP,msp,MSP,missing,,Log review cadence evidence is missing or not recorded for systems that support patient-data workflows.,"Missing log review evidence reduces risk visibility when suspicious access, vendor support, or account misuse questions arise.",Monitoring,EHR access; email access; remote access; vendor support,msp,office_manager,"Can you provide the log sources, review cadence, alert owner, escalation path, and date last reviewed?",log source list; review cadence record; alert owner; escalation path; date observed,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data,30_days,msp; office_manager,"Assign a log review owner, record cadence evidence, and define escalation for suspicious access.","Assign a log review owner, record cadence evidence, and define escalation for suspicious access.","Log review cadence evidence is missing or not recorded for systems that support patient-data workflows. Next action: Assign a log review owner, record cadence evidence, and define escalation for suspicious access.","Support the Monitoring workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Missing log review evidence reduces risk visibility when suspicious access, vendor support, or account misuse questions arise.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",owner-msp-handoff.md,30_days
AI-PASTE_PATIENT_LEVEL_NOTE_INTO_PUBLIC_CHATBOT,ai_phi_review,high,high,AI workflow requires action: Paste patient-level note into public chatbot,Practice owner,owner,Owner,requested,AI-POLICY,"An AI workflow needs clearer data-use, vendor, and human-review boundaries before staff rely on it.","AI workflows need explicit data boundaries so staff do not enter patient, billing, clinical, credential, or raw evidence details into the wrong tool.",AI workflow review,AI drafting; billing appeal drafting; AI documentation; staff guidance,office_manager,legal_compliance,"Should this workflow remain no-PHI, restricted, or paused until vendor terms, retention, model-training use, and human-review controls are reviewed?",AI acceptable-use guidance; vendor terms summary; model-training setting; retention/deletion terms; staff acknowledgement,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; patient notes; claim narratives; raw contracts,30_days,office_manager; legal_or_compliance_reviewer; technical_reviewer,"Keep the workflow no-PHI or restricted, collect gated proof, and route terms to professional review if needed.","Keep the workflow no-PHI or restricted, collect gated proof, and route terms to professional review if needed.","An AI workflow needs clearer data-use, vendor, and human-review boundaries before staff rely on it. Next action: Keep the workflow no-PHI or restricted, collect gated proof, and route terms to professional review if needed.","Support the AI workflow review workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. AI workflows need explicit data boundaries so staff do not enter patient, billing, clinical, credential, or raw evidence details into the wrong tool.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",ai-workflow-review.md,30_days
VENDOR-EXAMPLE_AI_SCRIBE_VENDOR,vendor_baa_review,high,high,BAA status needs review for Example AI Scribe Vendor,Practice manager,vendor,Vendor,requested,VENDOR-EXAMPLE_AI_SCRIBE_VENDOR,"A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing.","Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.",Vendor / BAA,vendor services; patient messaging; billing; AI documentation,vendor,office_manager,"Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?",BAA status; BAA review date; vendor security page; SOC 2 or HITRUST status; incident notification terms; retention/deletion terms,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; raw contracts with sensitive details; patient notes; claim narratives; raw contracts,30_days,vendor_owner; legal_or_compliance_reviewer,"Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","A vendor appears to support a workflow involving patient data, but BAA status or review evidence is missing. Next action: Add the vendor to the register, confirm PHI access level, and request BAA/evidence status.","Support the Vendor / BAA workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.","Can you confirm whether this vendor stores, processes, transmits, or accesses PHI, whether a BAA is in place, and when it was last reviewed?","Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Vendor uncertainty leaves the practice without clear privacy, incident notice, retention, deletion, and subcontractor answers.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",vendor-baa-review.md,30_days
EXT-TRACKER-INTAKE-002,external_evidence_precheck,high,high,Analytics tag observed on new patient intake page,Office Manager,vendor_legal_compliance_reviewer,Vendor/legal/compliance reviewer,referenced,EXT-TRACKER-INTAKE-002,A third-party tracker or analytics tag was observed on a patient-facing workflow and needs vendor/privacy review before the practice relies on it.,"Tracking technologies on intake, scheduler, portal, payment, or registration workflows can create privacy, vendor-contract, authorization, and evidence questions that a small practice should not have to decode alone.",Public site tracker / privacy evidence,appointment scheduler; patient intake; portal registration; public contact workflow,office_manager,legal_compliance,"Can the website/vendor confirm which trackers fire on patient-facing scheduler, intake, portal, payment, or registration workflows, what data is sent, and whether BAA, authorization, or qualified privacy review is needed?",tracker inventory; tag manager export; sanitized network request summary; page/workflow label; vendor BAA or authorization review note; privacy reviewer disposition,patient names; patient records; credentials; private portal links; raw logs; screenshots with sensitive data; real form submissions; patient-entered details; full intercepted payloads with sensitive data; session cookies; private admin links,30_days,office_manager; vendor_owner; legal_or_compliance_reviewer; technical_reviewer,"Send the observation to the website vendor and qualified privacy reviewer, confirm tracker purpose and data flow, and decide whether the tag should be removed or restricted on patient-facing workflows.","Send the observation to the website vendor and qualified privacy reviewer, confirm tracker purpose and data flow, and decide whether the tag should be removed or restricted on patient-facing workflows.","A third-party tracker or analytics tag was observed on a patient-facing workflow and needs vendor/privacy review before the practice relies on it. Next action: Send the observation to the website vendor and qualified privacy reviewer, confirm tracker purpose and data flow, and decide whether the tag should be removed or restricted on patient-facing workflows.","Support the Public site tracker / privacy evidence workflow review with reference-only evidence, dates observed, owners, and any missing or stale evidence.",No direct vendor ask unless this workflow depends on a vendor answer.,"Professional review recommended for contract, formal risk assessment, incident, insurance, or regulatory questions. Tracking technologies on intake, scheduler, portal, payment, or registration workflows can create privacy, vendor-contract, authorization, and evidence questions that a small practice should not have to decode alone.","Review the control evidence, unsafe inputs, and owner/MSP handoff before relying on this action packet.",external-evidence-precheck.md,30_days
