source_repo,source_artifact,item_id,module,title,status,risk,owner,evidence_needed,evidence_reference,source_mapping,next_review_due,notes
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-001,03-hipaa-evidence-binder,ephi_flow_register,not_started,medium,MSP Lead,"BAA, portal access controls, intake workflow owner",restricted-evidence/ephi-flows/FLOW-001.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Patient intake form to Cloud EHR via HTTPS portal
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-002,03-hipaa-evidence-binder,ephi_flow_register,not_started,high,MSP Lead,"BAA, integration owner, incident notification terms",restricted-evidence/ephi-flows/FLOW-002.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Cloud EHR to Billing Portal via vendor integration
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-003,03-hipaa-evidence-binder,ephi_flow_register,not_started,high,MSP Lead,"secure email policy, forwarding review, staff training",restricted-evidence/ephi-flows/FLOW-003.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Staff email to External specialist via email
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-004,03-hipaa-evidence-binder,ephi_flow_register,not_started,high,MSP Lead,"export procedure, shared-folder access review, backup scope reference",restricted-evidence/ephi-flows/FLOW-004.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Dental Imaging Workstation to Shared Drive via manual export
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-005,03-hipaa-evidence-binder,ephi_flow_register,not_started,medium,MSP Lead,AI acceptable-use guidance and staff acknowledgement,restricted-evidence/ephi-flows/FLOW-005.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Front desk notes to General AI Assistant via browser prompt
small-practice-security-kit,samples/family_dental_clinic.yaml,FLOW-FLOW-006,03-hipaa-evidence-binder,ephi_flow_register,not_started,high,MSP Lead,"BAA, retention terms, model-training terms, human review approval",restricted-evidence/ephi-flows/FLOW-006.md,HHS Risk Analysis Guidance; NIST SP 800-66 Rev. 2,not_scheduled,Provider conversation to AI Scribe Pilot via vendor app
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-EXAMPLE-EHR-VENDOR,03-hipaa-evidence-binder,vendor_baa_register,not_started,medium,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for Example EHR Vendor",restricted-evidence/vendors/example-ehr-vendor.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: signed; SOC 2 status: not provided; HITRUST status: not provided; AI training use: not reviewed
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-EXAMPLE-BILLING-VENDOR,03-hipaa-evidence-binder,vendor_baa_register,not_started,high,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for Example Billing Vendor",restricted-evidence/vendors/example-billing-vendor.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: missing review date; SOC 2 status: not provided; HITRUST status: not provided; AI training use: unknown
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-WORKSPACE-PROVIDER,03-hipaa-evidence-binder,vendor_baa_register,not_started,medium,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for Workspace Provider",restricted-evidence/vendors/workspace-provider.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: signed; SOC 2 status: not provided; HITRUST status: not provided; AI training use: not reviewed for add-on AI features
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-EXAMPLE-IMAGING-VENDOR,03-hipaa-evidence-binder,vendor_baa_register,not_started,high,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for Example Imaging Vendor",restricted-evidence/vendors/example-imaging-vendor.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: unknown; SOC 2 status: not provided; HITRUST status: not provided; AI training use: not applicable in current deployment
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-GENERAL-AI-ASSISTANT-VENDOR,03-hipaa-evidence-binder,vendor_baa_register,not_started,medium,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for General AI Assistant Vendor",restricted-evidence/vendors/general-ai-assistant-vendor.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: not needed for no-PHI demo workflow; SOC 2 status: not applicable; HITRUST status: not applicable; AI training use: consumer/default settings not approved for sensitive data
small-practice-security-kit,samples/family_dental_clinic.yaml,VENDOR-EXAMPLE-AI-SCRIBE-VENDOR,03-hipaa-evidence-binder,vendor_baa_register,not_started,high,Office Manager,"BAA, SOC 2/HITRUST status, security contact, AI data-use review, and incident terms for Example AI Scribe Vendor",restricted-evidence/vendors/example-ai-scribe-vendor.md,HIPAA Business Associate Requirements; NIST SP 800-66 Rev. 2,not_scheduled,BAA status: requested; SOC 2 status: not provided; HITRUST status: not provided; AI training use: unknown
small-practice-security-kit,samples/family_dental_clinic.yaml,ACCESS-QTR,03-hipaa-evidence-binder,access_review,not_started,critical,Office Manager,"Quarterly access review for EHR, billing, email, remote access, and administrator accounts",restricted-evidence/access/quarterly-access-review.xlsx,HIPAA Security Rule; NIST SP 800-66 Rev. 2,not_scheduled,Generated from readiness profile
small-practice-security-kit,samples/family_dental_clinic.yaml,BACKUP-RESTORE,03-hipaa-evidence-binder,backup_restore_test,not_started,critical,MSP Lead,"Restore test record for EHR, billing, shared drive, phone system, and key workstation",restricted-evidence/backups/restore-test.md,HIPAA Security Rule Contingency Plan; CISA CPG,not_scheduled,Generated from downtime profile
small-practice-security-kit,samples/family_dental_clinic.yaml,DOWNTIME-TABLETOP,03-hipaa-evidence-binder,downtime_drill,not_started,high,Office Manager,Downtime tabletop and patient-safety continuity walkthrough,restricted-evidence/downtime/tabletop.md,HIPAA Security Rule Contingency Plan; HHS HPH CPG,not_scheduled,Generated from downtime profile
small-practice-security-kit,samples/family_dental_clinic.yaml,AI-POLICY,03-hipaa-evidence-binder,ai_workflow_policy,not_started,high,Office Manager,Allowed/prohibited AI use guidance and staff acknowledgement,restricted-evidence/ai/ai-workflow-guidance.md,HIPAA Security Rule; NIST AI RMF; HHS HPH CPG,not_scheduled,Use as a companion evidence reference until binder has a dedicated AI section
small-practice-security-kit,samples/family_dental_clinic.yaml,LOG-REVIEW,03-hipaa-evidence-binder,log_review_record,not_started,high,MSP Lead,"Monthly log review record for email, EHR, remote access, endpoint, and firewall events",restricted-evidence/monitoring/monthly-log-review.md,HIPAA Audit Controls; CISA CPG,not_scheduled,Generated from readiness profile
small-practice-security-kit,samples/family_dental_clinic.yaml,MGMT-SIGNOFF,03-hipaa-evidence-binder,management_review_signoff,not_started,critical,Practice Owner,"Management signoff on open gaps, evidence status, and 30/60/90 roadmap",restricted-evidence/signoff/management-review.md,HIPAA documentation requirements; NIST SP 800-66 Rev. 2,not_scheduled,Generated from review packet
